"Title","TitleFR","Context","Long","LongFR"
"Translation Demo","Démo de traduction","default",,
"Delete","Supprimer","default",,
"Cancel","Annuler","default",,
"Confirm","Confirmer","default",,
"Save","Sauvegarder","default",,
"Add New","Ajouter","default",,
"Name","Nom","default",,
"City","Ville","default",,
"Province","Province","default",,
"Find items","Rechercher","default",,
"Favourite Fruit","Fruit préféré","default",,
"Other Fruit","Autres fruits","default",,
"Favourite Colour","Couleur préférée","default",,
"More Specific Colour","Couleur plus spécifique","default",,
"intro_text",,"default","This is a form that allows you to add <b>People</b>, and tell us what province they live in, and what their favourite <i>fruit</i> and <i>colours</i> are.","Il s'agit d'un formulaire qui vous permet d'ajouter des <b>personnes</b> et de nous dire dans quelle province elles vivent et quels sont leurs <i>fruits</i> et <i>couleurs</i> préférés.<br><br>"
"Photo","Le Photo","default",,
"Tap or click to add a picture","Le Tap or click to add a picture","default",,
"Department","Département","default",,
